temperature,humidity,motion,smoke,power_usage,incident,severity,action
30,50,0,0,200,normal,low,No action needed
30,50,0,0,200,normal,low,No action needed
30,50,0,0,200,normal,low,No action needed
30,50,0,0,200,normal,low,No action needed
30,50,0,0,200,normal,low,No action needed
30,50,0,0,200,normal,low,No action needed
30,50,0,0,200,normal,low,No action needed
30,50,0,0,200,normal,low,No action needed
30,50,0,0,200,normal,low,No action needed
30,50,0,0,200,normal,low,No action needed
30,50,0,0,200,normal,low,No action needed
30,50,0,0,200,normal,low,No action needed
30,50,0,0,200,normal,low,No action needed
30,35,0,0,200,normal,low,No action needed
30,50,0,0,200,normal,low,No action needed
31,35,0,0,200,normal,low,No action needed
46,35,0,0,200,overheating,medium,Inspect cooling system
30,35,0,0,200,normal,low,No action needed
31,35,0,0,200,normal,low,No action needed
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,200,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
87,35,0,0,255,overheating,medium,Inspect cooling system
46,35,0,0,255,overheating,medium,Inspect cooling system
87,35,0,0,255,overheating,medium,Inspect cooling system
100,35,0,0,255,overheating,medium,Inspect cooling system
87,35,0,0,255,overheating,medium,Inspect cooling system
100,35,0,0,255,overheating,medium,Inspect cooling system
100,96,0,0,255,overheating,medium,Inspect cooling system
100,35,0,0,255,overheating,medium,Inspect cooling system
100,96,0,0,255,overheating,medium,Inspect cooling system
100,100,0,0,255,overheating,medium,Inspect cooling system
100,100,0,0,255,overheating,medium,Inspect cooling system
100,100,0,0,255,overheating,medium,Inspect cooling system
100,100,1,0,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,0,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
100,100,1,1,255,overheating,medium,Inspect cooling system
