temperature,humidity,motion,smoke,power_usage,incident,severity
31.901480879771775,30.454093605576837,0,0,166.8103079831988,normal,low
18.159995024040334,89.23047293963734,1,0,158.5641264012273,intrusion,medium
25.596455279594323,28.214710515075858,0,0,243.20044593146716,normal,low
30.81884219065649,40.11163783912089,1,0,205.93512925655116,intrusion,medium
10.328035949253277,49.362071490663425,0,0,187.37359482851343,normal,low
18.227666903820158,35.639428989546275,0,0,233.39583606068592,normal,low
29.678933054861456,51.49766060619822,0,0,246.53451668075795,normal,low
23.78313922861269,64.2143007931285,0,0,214.79971276182812,normal,low
27.314080489159938,67.35735015991939,1,0,215.60896626901643,intrusion,medium
27.149429378814563,56.873452444103165,0,0,163.62965130391694,normal,low
42.757277051090554,67.06261717439583,0,1,269.90741273529926,normal,low
40.0272245041588,41.78521771455466,0,0,211.15849467273105,normal,low
28.94498969551611,64.3734348026007,0,0,259.98031321664007,normal,low
21.08371487310417,80.73223325064009,0,0,169.45673414387562,normal,low
23.37878173424371,40.38639942705434,0,0,180.0514247696446,normal,low
31.3168646062231,73.940990114458,1,0,169.1013719071532,intrusion,medium
41.24828059663035,75.81790869049917,0,0,254.31478044123492,normal,low
21.625270987624603,61.86978883232168,0,0,219.37664026154306,normal,low
48.37519683285908,33.40148949618268,1,1,217.08444987828477,overheating,medium
10.0,33.75592836377434,0,0,153.2773428983681,normal,low
42.351765507309,22.105512487410603,0,0,165.36884234154797,normal,low
20.687058047829346,44.108306118434086,1,0,120.18748818126559,intrusion,medium
10.0,30.384742454089896,1,0,164.9510574855546,intrusion,medium
27.72236802570942,45.690902604838215,0,0,210.2851056489787,normal,low
44.96682491108092,33.83923970972435,1,0,193.60799033295373,normal,low
25.437292243054465,44.541301379081546,0,1,241.3396436546083,normal,low
39.219326612167386,83.11521382045662,1,0,156.9841963017347,normal,low
11.113885441889128,76.32331464801996,1,1,128.739049338763,intrusion,medium
36.738722208010934,68.74629738792632,0,0,301.7374254771376,normal,low
17.82027871214827,45.508819309892,0,0,203.9817600081572,normal,low
33.12447854909598,63.14493714248084,1,0,194.0215033550596,intrusion,medium
25.278790032299845,69.51435994695056,0,0,178.73171631026972,normal,low
26.620812737728492,43.42973854831212,0,0,189.6083867601012,normal,low
19.55722905727993,44.38395087701822,1,1,170.83188345602392,intrusion,medium
35.49891878875203,43.06369909745575,0,0,216.46122046612493,normal,low
45.52602407651899,61.06180833092982,1,0,135.00492179199836,overheating,medium
45.07049870599255,37.16519789477765,0,0,188.22262630424618,normal,low
21.13605669034851,34.58025898185447,0,0,196.73593981307351,normal,low
20.80789097793837,89.78379204264161,0,0,139.340832715776,normal,low
33.80007056561061,79.85812614140168,1,0,177.2579119010834,intrusion,medium
20.281268639443418,37.24084476782987,0,0,94.70157235928494,normal,low
26.611886239360505,76.11766071644978,0,0,208.69971325225995,normal,low
28.511500558504245,31.59274767350923,0,0,227.2362156536889,normal,low
31.33410690724662,63.6246215188698,1,1,108.3206810651976,intrusion,medium
11.661977378122462,26.04761837272258,0,0,207.2706390467347,normal,low
26.29323828395548,33.0872934800672,0,0,117.47581768570446,normal,low
42.21685861672075,57.66588601567351,1,0,191.32367660983462,normal,low
43.626170543164115,86.69122547002438,0,0,225.87903096545676,normal,low
52.24104176376119,79.07410950122323,1,0,255.45680923083265,overheating,medium
23.93227640420872,56.17420183899368,0,0,151.408216904601,normal,low
37.83717414546391,55.51475010123777,0,0,225.3302552958181,normal,low
28.27649225478427,28.90400516495055,0,0,242.66630025182414,normal,low
30.520203985820196,84.81618373528106,0,0,222.67453555003888,normal,low
48.756598753152446,79.716634466105,1,0,187.86148555257853,overheating,medium
15.314056042167504,56.30476790929756,1,1,172.25329492898902,intrusion,medium
41.871498695941156,76.97681186825032,0,1,260.1959143903739,normal,low
10.0,38.10361375606,0,0,244.9992986971984,normal,low
34.60984048222808,88.16681447391458,1,0,156.2269147903741,intrusion,medium
35.58652465987447,36.19246119436963,1,0,250.10537313223753,normal,low
46.86795351397054,64.42440040790389,1,0,204.0541813595021,overheating,medium
23.080102136814894,45.46608414224738,0,0,167.72056242486138,normal,low
41.185711130372,83.27255538595236,0,0,142.12234580908907,normal,low
43.40722336254163,30.26340387100885,0,0,125.25369666507407,normal,low
32.93807379683434,75.99186525991843,0,0,190.6231890970647,normal,low
19.098709968147745,24.12403771023063,0,0,153.97142773636065,normal,low
36.83744173100278,71.3143390889573,0,0,173.43115056355103,normal,low
51.1804939275133,47.93972799973389,1,0,178.21746073922705,overheating,medium
17.88007918378245,60.49907253398383,1,0,158.33756044400266,intrusion,medium
28.50528756856718,77.43765844033166,0,0,178.4334959172308,normal,low
40.53172424518779,67.39541729198729,1,0,200.97337158900802,normal,low
36.92239225329271,49.65500503511237,0,0,190.03005572128376,normal,low
14.491739431505415,53.64927994160544,1,0,119.06798811665298,intrusion,medium
16.584387027260853,23.102456975689556,1,0,231.24749268536036,intrusion,medium
55.19257288614697,61.224520222849875,1,0,198.91463245706822,overheating,medium
25.591698081485088,31.6131312655963,0,0,282.826348697895,normal,low
30.729465362143554,51.83462828500632,0,1,129.17402574421607,normal,low
29.592980945901974,58.44339163028427,1,0,179.94123210005282,intrusion,medium
16.037807457026503,38.52597435541011,1,0,242.385430448175,intrusion,medium
29.838250131546207,40.72840303132158,0,0,166.52819767293985,normal,low
10.0,30.556856096588803,0,0,210.59493374971967,normal,low
18.799250798904648,50.63282418670199,0,0,166.40501292353574,normal,low
19.6794691193341,88.56866676677573,1,0,150.50378456453467,intrusion,medium
